GID_0,GID_1,GID_3,population,area_km2,population_km2
BGD,BGD.5,BGD.5.1.9_1,315240.9797,224,1407.325802
BGD,BGD.5,BGD.5.1.10_1,387516.9431,297,1304.770852
BGD,BGD.5,BGD.5.1.11_1,421440.6076,313,1346.455615
BGD,BGD.5,BGD.5.1.12_1,223139.9816,157,1421.273768
BGD,BGD.5,BGD.5.2.1_1,146888.1494,141,1041.759925
BGD,BGD.5,BGD.5.2.2_1,289128.9641,226,1279.3317
BGD,BGD.5,BGD.5.2.3_1,,,
BGD,BGD.5,BGD.5.2.4_1,107300.5979,140,766.4328421
BGD,BGD.5,BGD.5.2.5_1,265581.741,289,918.967962
BGD,BGD.5,BGD.5.3.1_1,225891.5515,264,855.6498162
BGD,BGD.5,BGD.5.3.2_1,207654.6476,211,984.1452495
BGD,BGD.5,BGD.5.3.3_1,193065.1318,304,635.0826703
BGD,BGD.5,BGD.5.3.4_1,320648.8268,387,828.54994
BGD,BGD.5,BGD.5.3.5_1,397780.4716,416,956.2030568
BGD,BGD.5,BGD.5.3.6_1,418622.5455,271,1544.73264
BGD,BGD.5,BGD.5.3.7_1,270911.1366,446,607.4240731
BGD,BGD.5,BGD.5.3.8_1,254560.5,387,657.7790697
BGD,BGD.5,BGD.5.3.9_1,146458.2688,264,554.7661696
BGD,BGD.5,BGD.5.3.10_1,186153.3132,245,759.8094415
BGD,BGD.5,BGD.5.3.11_1,167116.1169,243,687.7206457
BGD,BGD.5,BGD.5.4.1_1,144359.7449,138,1046.085108
BGD,BGD.5,BGD.5.4.2_1,239020.6331,300,796.7354435
BGD,BGD.5,BGD.5.4.3_1,224942.1594,197,1141.838372
BGD,BGD.5,BGD.5.4.4_1,375216.4988,329,1140.47568
BGD,BGD.5,BGD.5.4.5_1,491130.2992,403,1218.685606
BGD,BGD.5,BGD.5.4.6_1,405456.3314,537,755.0397232
BGD,BGD.5,BGD.5.5.1_1,118825.1689,124,958.2674911
BGD,BGD.5,BGD.5.5.2_1,315625.943,319,989.4230187
BGD,BGD.5,BGD.5.5.3_1,168256.8387,283,594.5471331
BGD,BGD.5,BGD.5.5.4_1,587707.6035,432,1360.434267
BGD,BGD.5,BGD.5.5.5_1,651427.1599,519,1255.158304
BGD,BGD.5,BGD.5.6.1_1,180935.037,188,962.4204097
BGD,BGD.5,BGD.5.6.2_1,293110.4987,259,1131.700767
BGD,BGD.5,BGD.5.6.3_1,146826.0857,128,1147.078794
BGD,BGD.5,BGD.5.6.4_1,,,
BGD,BGD.5,BGD.5.6.5_1,156591.2952,145,1079.939967
BGD,BGD.5,BGD.5.6.6_1,347418.9976,268,1296.339543
BGD,BGD.5,BGD.5.6.7_1,672964.3784,427,1576.028989
BGD,BGD.5,BGD.5.6.8_1,450307.6656,338,1332.2712
BGD,BGD.5,BGD.5.6.9_1,270789.2406,329,823.0676007
BGD,BGD.5,BGD.5.7.1_1,205914.1896,200,1029.570948
BGD,BGD.5,BGD.5.7.2_1,403697.0695,370,1091.073161
BGD,BGD.5,BGD.5.7.3_1,266590.9165,19,14031.10087
BGD,BGD.5,BGD.5.7.4_1,241941.3105,178,1359.220845
BGD,BGD.5,BGD.5.7.5_1,204770.1289,194,1055.516129
BGD,BGD.5,BGD.5.7.6_1,401452.5969,491,817.6223969
BGD,BGD.5,BGD.5.7.7_1,45591.35559,9,5065.706177
BGD,BGD.5,BGD.5.7.8_1,184239.3931,159,1158.738321
BGD,BGD.5,BGD.5.7.9_1,423642.8835,397,1067.110538
BGD,BGD.5,BGD.5.7.10_1,238077.7108,197,1208.516299
BGD,BGD.5,BGD.5.7.11_1,75362.17328,12,6280.181107
BGD,BGD.5,BGD.5.7.12_1,39413.07922,8,4926.634903
BGD,BGD.5,BGD.5.7.13_1,214744.7157,297,723.0461809
BGD,BGD.5,BGD.5.8.1_1,405041.9749,164,2469.76814
BGD,BGD.5,BGD.5.8.2_1,191893.4397,240,799.5559986
BGD,BGD.5,BGD.5.8.3_1,162955.081,96,1697.44876
BGD,BGD.5,BGD.5.8.4_1,318514.6914,374,851.6435599
BGD,BGD.5,BGD.5.8.5_1,371321.9213,268,1385.529557
BGD,BGD.5,BGD.5.8.6_1,621471.1829,323,1924.05939
BGD,BGD.5,BGD.5.8.7_1,633593.9585,314,2017.815154
BGD,BGD.5,BGD.5.8.8_1,233979.4621,301,777.3404055
